1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
0,0,0,0,0,0,0,0.36,0.45,0.05,0,0.05,0.05,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075264,0.075264,0.075264,0.075264,3.01056,3.01056,0.00301056,0.075264,0.01,0.01
